DAUID	   HH1    HH2     HH3    HH4    HH5    HH6  Total number of households per dissemination area by size
35180229	15	40	40	37	36	10
35180230	15	30	20	27	27	5
35180231	10	30	35	25	24	9
35180232	10	25	15	25	24	5
35180233	5	35	20	35	35	5
35180234	5	45	40	54	54	14
35180235	10	30	30	37	36	14
35180236	10	55	45	45	45	15
35180237	20	35	35	15	14	0
35180238	10	35	25	22	21	4
35180239	15	40	20	20	20	10
35180240	10	40	25	37	37	5
35180241	20	60	20	20	19	5
35180242	35	60	30	21	21	5
35180243	75	65	30	22	22	10
35180244	25	45	30	20	20	5
35180245	15	45	25	17	17	5
35180248	80	75	45	24	24	0
35180249	20	60	30	14	14	4
35180250	40	60	45	22	22	5
35180251	20	60	35	17	17	5
35180252	110	65	20	12	11	0
35180253	15	65	45	32	31	9
35180254	145	70	25	12	12	0
35180255	155	50	15	10	9	4
35180256	95	70	35	10	10	0
35180257	35	45	25	15	15	5
35180258	75	85	30	5	5	0
35180259	320	155	50	25	24	0
35180260	95	70	20	10	10	5
35180261	45	65	30	22	21	4
35180262	55	45	15	10	9	4
35180263	30	35	15	7	7	0
35180264	130	55	25	11	12	5
35180265	35	70	40	17	16	0
35180266	5	25	25	15	14	0
35180272	15	40	25	17	17	10
35180273	40	80	25	17	16	4
35180274	25	75	30	15	15	0
35180275	55	70	35	17	16	0
35180276	45	70	20	25	24	0
35180277	15	45	45	37	37	5
35180284	10	30	30	35	34	0
35180285	20	60	45	47	47	5
35180286	70	70	35	25	24	4
35180287	45	55	25	15	14	0
35180290	50	95	40	25	24	0
35180291	15	45	40	37	36	4
35180292	5	35	30	30	29	14
35180293	80	70	65	45	44	14
35180294	160	170	110	80	80	10
35180295	40	75	101	75	73	14
35180296	10	40	30	50	50	10
35180297	5	25	35	72	72	10
35180298	5	40	35	50	49	9
35180299	5	35	35	64	64	15
35180300	135	120	95	125	124	35
35180301	50	70	35	40	39	10
35180302	5	20	25	40	40	10
35180303	15	55	55	72	72	5
35180304	5	20	35	25	24	5
35180305	10	15	20	35	34	4
35180306	5	20	30	42	41	5
35180307	25	70	20	25	24	5
35180309	15	50	40	35	34	14
35180310	15	80	35	40	40	10
35180311	15	50	45	47	46	14
35180312	30	100	45	32	31	14
35180313	10	40	25	22	22	5
35180314	110	95	35	15	15	5
35180315	50	75	40	22	21	4
35180316	40	100	40	30	29	5
35180317	45	65	35	20	20	0
35180318	60	115	30	12	12	0
35180319	50	65	25	10	9	4
35180320	50	65	30	15	14	9
35180321	30	85	35	27	27	0
35180322	25	80	25	25	24	4
35180324	55	85	35	15	15	0
35180325	50	55	20	15	15	0
35180326	20	60	25	22	22	0
35180327	35	70	55	30	29	9
35180328	70	65	25	10	10	5
35180329	25	70	20	12	11	4
35180330	80	65	60	22	22	10
35180331	90	85	35	25	24	10
35180332	55	155	130	100	99	5
35180333	25	60	50	37	37	10
35180334	50	145	115	110	109	15
35180335	60	90	60	47	47	14
35180336	60	115	85	50	50	15
35180337	25	50	25	22	21	4
35180338	10	25	10	20	19	5
35180339	15	55	25	27	27	5
35180340	0	35	20	42	42	20
35180342	15	20	15	35	35	10
35180343	10	20	25	42	42	14
35180344	55	110	100	90	89	24
35180345	30	55	54	75	74	19
35180346	5	15	15	35	35	5
35180347	30	70	53	75	74	19
35180348	85	170	85	92	91	29
35180350	30	95	80	64	64	5
35180351	10	45	40	40	39	5
35180352	5	25	25	22	22	5
35180354	5	30	25	25	25	10
35180356	15	15	20	27	27	9
35180357	15	40	30	40	39	9
35180358	25	65	60	62	61	14
35180359	10	35	30	32	32	9
35180360	40	75	40	17	16	0
35180361	25	40	35	35	35	10
35180362	15	40	25	25	24	9
35180363	35	45	35	20	20	5
35180364	70	90	25	15	14	4
35180365	25	45	60	60	59	25
35180366	40	70	70	64	64	15
35180367	5	10	15	20	19	4
35180368	60	45	30	22	21	9
35180369	10	25	25	35	34	15
35180370	10	25	20	22	21	9
35180371	10	25	20	32	32	15
35180372	20	50	30	45	45	20
35180373	5	15	25	42	42	25
35180374	5	20	20	25	24	9
35180375	35	90	95	62	61	19
35180380	5	35	35	44	44	15
35180381	0	25	30	42	41	24
35180382	5	30	20	52	51	24
35180383	10	35	40	30	29	14
35180385	20	40	40	59	59	19
35180386	30	95	90	102	102	30
35180388	0	10	25	22	21	5
35180389	5	10	20	35	34	9
35180391	10	25	40	35	34	19
35180392	80	75	45	27	27	10
35180393	15	45	40	32	32	10
35180394	10	40	40	37	36	4
35180397	20	45	40	30	29	9
35180398	15	25	40	47	46	14
35180399	10	45	45	37	37	20
35180400	15	20	25	30	30	10
35180401	20	30	30	39	39	9
35180402	5	25	25	12	12	5
35180403	15	65	35	15	15	5
35180404	10	40	30	20	19	4
35180405	65	95	55	22	22	9
35180406	120	65	25	12	12	10
35180407	65	70	45	20	19	4
35180408	15	50	50	70	69	19
35180409	10	40	35	80	80	15
35180410	35	75	50	45	45	20
35180411	5	15	15	17	16	9
35180412	15	35	40	37	36	14
35180413	10	20	30	30	29	19
35180414	10	30	25	27	27	10
35180415	20	55	50	50	49	19
35180416	10	15	10	20	20	24
35180417	5	15	15	15	14	9
35180418	15	30	30	47	47	25
35180419	15	25	50	42	42	20
35180420	35	65	65	67	66	39
35180421	5	15	20	35	34	19
35180422	10	25	30	35	34	5
35180423	10	40	40	40	39	14
35180424	25	65	40	29	29	10
35180425	30	40	30	30	29	14
35180426	10	30	25	32	31	4
35180427	55	75	70	47	46	9
35180428	30	60	50	40	39	4
35180429	15	35	45	22	21	9
35180430	10	35	45	30	29	14
35180431	25	65	50	65	64	14
