camDAUID	   LP OTHER	COUPLE	(from	2006	census)
35180017	0	1	1	0.111111	1	1	0	0	1	0	0	1	0	0.333333	1	0	0.0714286	1
35180018	0	1	1	0	1	1	0.222222	0	1	0	0	1	0	0.6	1	0	0	1
35180019	0	1	1	0.285714	1	1	0.285714	0.714286	1	0	0	1	0	0.589744	1	0	0	1
35180021	0	1	1	0.2	1	1	0.366667	0	1	0	0	1	0	0.409091	1	0	0	1
35180022	0	1	1	0.384615	1	1	0.163636	0	1	0	0	1	0	0.571429	1	0	0.25	1
35180024	0	1	1	0	1	1	0	0.285714	1	0	0	1	0	0.555556	1	0	0	1
35180025	0	1	1	0.117647	1	1	0	0.5	1	0.285714	0	1	0.142857	0.238095	1	0	0	1
35180026	0	1	1	0.111111	1	1	0.4	0.5	1	0	0	1	0	0.5	1	0	0	1
35180027	0	1	1	0.285714	1	1	0.5	0	1	0	0	1	0	0.490196	1	0	0	1
35180028	0	1	1	0.166667	1	1	0	0	1	0	0	1	0.0454545	0.651515	1	0	0	1
35180035	0	1	1	0.15625	1	1	0.4	0	1	0	0	1	0	0.423077	1	0	0	1
35180038	0	1	1	0.2	1	1	0.222222	0.444444	1	0	0	1	0	0.75	1	0	0	1
35180039	0	1	1	0.357143	1	1	0	0.25	1	0	0	1	0	0.448276	1	0	0.111111	1
35180040	0	1	1	0.125	1	1	0.25	0	1	0	0.0625	1	0	0.28125	1	0	0	1
35180041	0	1	1	0.142857	1	1	0.285714	0.571429	1	0	0	1	0	0.72973	1	0	0	1
35180042	0	1	1	0.1875	1	1	0	0	1	0.146341	0.390244	1	0.0731707	0.195122	1	0	0	0
35180043	0	1	1	0.1875	1	1	0	0.428571	1	0	0.6	1	0	0.0416667	1	0	0	1
35180044	0	1	1	0.307692	1	1	0	1	1	0	0.411765	1	0	0.411765	1	0	0	1
35180045	0	1	1	0.4	1	1	0	0	1	0	1	1	0	0.333333	1	0	0	1
35180046	0	1	1	0	1	1	0.2	0	1	0	0	1	0	1	1	0	1	1
35180047	0	1	1	0.25	1	1	0.3	0.5	1	0	0	1	0	1	1	0	0	0
35180048	0	1	1	0.2	1	1	0.32	0	1	0	0	1	0	0.454545	1	0	0.25	1
35180049	0	1	1	0.454545	1	1	0.4	0	1	0	0	1	0	1	1	0	0	0
35180050	0	1	1	0.133333	1	1	0.733333	0	1	0	0	1	0	1	1	0	1	1
35180051	0	1	1	0.166667	1	1	0.56	0	1	0	0	1	0	0.571429	1	0	0	0
35180052	0	1	1	0.416667	1	1	0	0.5	1	0	0	1	0	0.625	1	0	0	0
35180053	0	1	1	0	1	1	0	0	1	0	0	1	0	0.714286	1	0	0.25	1
35180054	0	1	1	0.0377358	1	1	0.4	0	1	0	0	1	0	0.59375	1	0	0	1
35180055	0	1	1	0	1	1	0	0	1	0	0	1	0	0.235294	1	0	0	1
35180056	0	1	1	0	1	1	0.233333	0	1	0	0	1	0	0.6	1	0	0	1
35180057	0	1	1	0.333333	1	1	0	0	1	0	0	1	0.103448	0.793103	1	0	0.666667	1
35180058	0	1	1	0.166667	1	1	0	0.111111	1	0	0.189189	1	0	0.555556	1	0	0.111111	1
35180059	0	1	1	0.25	1	1	0	0.6	1	0	0.2	1	0	0.333333	1	0	0	1
35180060	0	1	1	0.222222	1	1	0	0	1	0	0.4	1	0	0.75	1	0	0.25	1
35180061	0	1	1	0.142857	1	1	0.4	0	1	0	0.166667	1	0	0.793103	1	0	0.25	1
35180063	0	1	1	0.2	1	1	0	0.166667	1	0	0	1	0	0.846154	1	0	0.25	1
35180064	0	1	1	0.137931	1	1	0	0.0833333	1	0	0	1	0	0.75	1	0	0	1
35180065	0	1	1	0.25	1	1	0.4	0	1	0	0	1	0	0.723404	1	0	0	1
35180066	0	1	1	0.285714	1	1	0.233333	0	1	0	0	1	0	0.714286	1	0	0.25	1
35180067	0	1	1	0.235294	1	1	0	0	1	0	0.0909091	1	0	0.714286	1	0	0.666667	1
35180068	0	1	1	0	1	1	0.285714	0	1	0	0	1	0	1	1	0	1	1
35180069	0	1	1	0.444444	1	1	0	0	1	0	0	1	0	1	1	0	1	1
35180070	0	1	1	0	1	1	0.5	0	1	0	0	1	0	0.714286	1	0	0.25	1
35180071	0	1	1	0.294118	1	1	0	0.285714	1	0	0.444444	1	0	0.384615	1	0	0.111111	1
35180075	0	1	1	0.315789	1	1	0.18	0	1	0	0	1	0	0.723404	1	0	0.333333	1
35180076	0	1	1	0.180328	1	1	0.0844444	0	1	0	0	1	0.0177515	0.704142	1	0	0.166667	1
35180077	0	1	1	0.117647	1	1	0	0	1	0	0	1	0	0.714286	1	0	0	1
35180078	0	1	1	0	1	1	0.0689655	0	1	0	0	1	0.0251256	0.532663	1	0	0	1
35180080	0	1	1	0.175258	1	1	0.14359	0	1	0	0	1	0.0105634	0.672535	1	0	0.148148	1
35180081	0	1	1	0.0957447	1	1	0.147692	0	1	0	0	1	0	0.69145	1	0	0	1
35180083	0	1	1	0.2	1	1	0.115385	0.307692	1	0	0	1	0	0.565217	1	0	0	1
35180086	0	1	1	0.333333	1	1	0	0	1	0	0	1	0	0.166667	1	0	0	0
35180087	0	1	1	0.555556	1	1	0.153846	0.461538	1	0	0	1	0.0681818	0.772727	1	0	0.666667	1
35180091	0	1	1	0.453125	1	1	0.32	0.48	1	0.272727	0	1	0.227273	0.636364	1	0	0.111111	1
35180094	0	1	1	0.6	1	1	0.333333	0.666667	1	0	0	1	0	1	1	0	0	0
