DAUID  PROBABILITY  CUMULATIVE PROBABILITY (2006)
35180237    5.81855e-05         0.0217472
35180238    6.7883e-05         0.0218151
35180239    6.55484e-05         0.0218806
35180240    9.32045e-05         0.0219738
35180241    7.77602e-05         0.0220516
35180242    8.9972e-05         0.0221415
35180243    9.84125e-05         0.02224
35180244    7.39889e-05         0.0223139
35180245    6.80626e-05         0.022382
35180248    0.000107751         0.0224898
35180249    7.45277e-05         0.0225643
35180250    9.26657e-05         0.022657
35180251    7.41685e-05         0.0227311
35180252    9.6437e-05         0.0228276
35180253    0.000107212         0.0229348
35180254    8.81761e-05         0.0230229
35180255    8.02744e-05         0.0231032
35180256    7.75806e-05         0.0231808
35180257    6.59076e-05         0.0232467
35180258    7.05768e-05         0.0233173
35180259    0.000182458         0.0234997
35180260    7.14747e-05         0.0235712
35180261    9.17678e-05         0.023663
35180262    5.69284e-05         0.0237199
35180263    7.56052e-05         0.0237955
35180264    7.81194e-05         0.0238736
35180265    8.51232e-05         0.0239588
35180266    4.36391e-05         0.0240024
35180272    6.60872e-05         0.0240685
35180273    8.24294e-05         0.0241509
35180274    7.3091e-05         0.024224
35180275    8.67394e-05         0.0243107
35180276    8.45844e-05         0.0243953
35180277    0.000105775         0.0245011
35180284    8.54823e-05         0.0245866
35180285    0.000132893         0.0247195
35180286    9.78737e-05         0.0248174
35180287    6.96789e-05         0.024887
35180290    0.000108649         0.0249957
35180291    0.000107392         0.0251031
35180292    8.79965e-05         0.0251911
35180293    0.000160908         0.025352
35180294    0.000292184         0.0256442
35180295    0.000219093         0.0258633
35180296    0.000119244         0.0259825
35180297    0.000156239         0.0261387
35180298    0.00012104         0.0262598
35180299    0.000150312         0.0264101
35180300    0.000353602         0.0267637
35180301    0.000129121         0.0268928
35180302    8.87149e-05         0.0269815
35180303    0.000173299         0.0271548
35180304    7.59644e-05         0.0272308
35180305    7.97356e-05         0.0273105
35180306    9.91308e-05         0.0274097
35180307    8.51232e-05         0.0274948
35180309    0.000110624         0.0276054
35180310    0.000126428         0.0277318
35180311    0.00013397         0.0278658
35180312    0.000133611         0.0279994
35180313    6.96789e-05         0.0280691
35180314    9.87716e-05         0.0281679
35180315    9.50003e-05         0.0282629
35180316    0.000120501         0.0283834
35180317    8.20702e-05         0.0284654
35180318    9.06903e-05         0.0285561
35180319    6.46505e-05         0.0286208
35180320    8.17111e-05         0.0287025
35180321    9.949e-05         0.028802
35180322    8.87149e-05         0.0288907
35180324    7.93765e-05         0.0289701
35180325    5.94426e-05         0.0290295
35180326    8.02744e-05         0.0291098
35180327    0.000123375         0.0292332
35180328    7.21931e-05         0.0293054
35180329    6.69851e-05         0.0293723
35180330    0.000111163         0.0294835
35180331    0.000114216         0.0295977
35180332    0.000295956         0.0298937
35180333    0.000123913         0.0300176
35180334    0.000313735         0.0303313
35180335    0.000169169         0.0305005
35180336    0.000186409         0.0306869
35180337    8.20702e-05         0.030769
35180338    4.92062e-05         0.0308182
35180339    8.97924e-05         0.030908
35180340    0.000112779         0.0310208
35180342    8.53028e-05         0.0311061
35180343    0.000106314         0.0312124
35180344    0.000271891         0.0314843
35180345    0.000194311         0.0316786
35180346    7.38093e-05         0.0317524
35180347    0.000197004         0.0319494
35180348    0.000322714         0.0322721
35180350    0.000192515         0.0324646
35180351    0.000107033         0.0325716
35180352    5.65692e-05         0.0326282
35180354    6.91401e-05         0.0326974
35180356    7.27318e-05         0.0327701
35180357    0.000105596         0.0328757
35180358    0.000174197         0.0330499
35180359    9.28453e-05         0.0331427
35180360    8.31477e-05         0.0332259
35180361    0.000100388         0.0333263
35180362    7.7401e-05         0.0334037
35180363    7.84785e-05         0.0334821
35180364    8.17111e-05         0.0335639
35180365    0.000176532         0.0337404
35180366    0.000180842         0.0339212
35180367    4.43574e-05         0.0339656
35180368    8.83557e-05         0.0340539
35180369    9.53595e-05         0.0341493
35180370    6.75239e-05         0.0342168
35180371    8.6919e-05         0.0343037
35180372    0.000135048         0.0344388
35180373    0.0001126         0.0345514
35180374    7.25522e-05         0.0346239
35180375    0.000204906         0.0348288
35180380    0.000119244         0.0349481
35180381    0.000119783         0.0350679
35180382    0.000139178         0.0352071
35180383    9.80533e-05         0.0353051
35180385    0.000162165         0.0354673
35180386    0.000277997         0.0357453
35180388    6.08792e-05         0.0358061
35180389    8.62007e-05         0.0358924
35180391    0.000106314         0.0359987
35180392    0.000127864         0.0361265
35180393    0.000100567         0.0362271
35180394    0.000101645         0.0363287
35180397    9.96695e-05         0.0364284
35180398    0.000121399         0.0365498
35180399    0.000119963         0.0366698
35180400    8.29682e-05         0.0367527
35180401    0.000100747         0.0368535
35180402    4.52554e-05         0.0368987
